"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","346069","Matjaz B. Juric and Ivan  Rozman and Marjan  Hericko and Tomaz  Domajnko","","","","Integrating Legacy Systems in Distributed Object Architecture","35--39","","5","CORBA, distributed object architectures, legacy integration","10.1145/346057.346069","SIGSOFT Softw. Eng. Notes","March 2000","25","2","","March","2000","0163-5948","","","","","","ACM","New York, NY, USA"
"article","947500","Jeff  Whisler","","","","Integrating WebCT with Diverse Campus Systems","114--115","","2","CAS, LDAP, MySQL, SIS, administration, integration, legacy","10.1145/947469.947500","","","","","","","2003","","Proceedings of the 31st  Annual ACM SIGUCCS Fall Conference","SIGUCCS '03","","1-58113-665-X","San Antonio, TX, USA","ACM","New York, NY, USA"
"article","604260","Tom  Dickens","","","","Migrating Legacy Engineering Applications to Java","1--ff","","","C, FORTRAN, Java, conversion, legacy, portability","10.1145/604251.604260","","","","","","","2002","","OOPSLA 2002 Practitioners Reports","OOPSLA '02","","1-58113-471-1","Seattle, Washington","ACM","New York, NY, USA"
"article","2677213","Michael  Wirth","","","","A Descent into the Maelstrom: Teaching Legacy Programming and Re-engineering","156--161","","6","ada, cobol, fortran, legacy software, reengineering","10.1145/2676723.2677213","","","","","","","2015","","Proceedings of the 46th ACM Technical Symposium on Computer Science Education","SIGCSE '15","","978-1-4503-2966-8","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"article","2940126","Ernani  Azevedo and Marcos  Machado and Rodrigo  Melo and Rafael  Aschoff and Djamel  Sadok and Ubiratan do Carmo","","","","Adopting Security Routines in Legacy Organizations","55--57","","3","aaa, information security, legacy systems, pbm","2940116.2940126","","","","","","","2016","","Proceedings of the 2016 Workshop on Fostering Latin-American Research in Data Communication Networks","LANCOMM '16","","978-1-4503-4426-5","Florianopolis, Brazil","ACM","New York, NY, USA"
"article","2980409","A. Sivagnana Ganesan and T.  Chithralekha","","","","A Survey on Survey of Migration of Legacy Systems","72:1--72:10","72","10","Legacy Systems, Migration, SOA, Software Evolution","10.1145/2980258.2980409","","","","","","","2016","","Proceedings of the International Conference on Informatics and Analytics","ICIA-16","","978-1-4503-4756-3","Pondicherry, India","ACM","New York, NY, USA"
"article","1570465","Guillaume  Besacier and Fr&#233;d&#233;ric  Vernier","","","","Toward User Interface Virtualization: Legacy Applications and Innovative Interaction Systems","157--166","","10","legacy applications, novel interaction systems, toolkit","10.1145/1570433.1570465","","","","","","","2009","","Proceedings of the 1st ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '09","","978-1-60558-600-7","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","298227","Neal  Sample and Carl  Bartlett and Matthew  Haines","","","","Mars: Runtime Support for Coordinated Applications","166--174","","9","MARS, legacy code, multidisciplinary application, runtime system","10.1145/298151.298227","","","","","","","1999","","Proceedings of the 1999 ACM Symposium on Applied Computing","SAC '99","","1-58113-086-4","San Antonio, Texas, USA","ACM","New York, NY, USA"
"article","372794","Chia-Chu  Chiang","","","","A Distributed Object Computing Architecture for Leveraging Software Reengineering Systems","653--657","","5","CORBA, design patterns, legacy integration, software reengineering","10.1145/372202.372794","","","","","","","2001","","Proceedings of the 2001 ACM Symposium on Applied Computing","SAC '01","","1-58113-287-5","Las Vegas, Nevada, USA","ACM","New York, NY, USA"
"article","1352602","Carsten  Weinhold and Hermann  H&#228;rtig","","","","VPFS: Building a Virtual Private File System with a Small Trusted Computing Base","81--93","","13","legacy reuse, secure file system, virtualization","10.1145/1357010.1352602","SIGOPS Oper. Syst. Rev.","May 2008","42","4","","April","2008","0163-5980","","","","","","ACM","New York, NY, USA"
"article","1352602","Carsten  Weinhold and Hermann  H&#228;rtig","","","","VPFS: Building a Virtual Private File System with a Small Trusted Computing Base","81--93","","13","legacy reuse, secure file system, virtualization","10.1145/1352592.1352602","","","","","","","2008","","Proceedings of the 3rd ACM SIGOPS/EuroSys European Conference on Computer Systems 2008","Eurosys '08","","978-1-60558-013-5","Glasgow, Scotland UK","ACM","New York, NY, USA"
"article","1449975","Danny  Wong","","","","Kickin' It Old School!: Dealing with Legacy Applications","55--58","","4","DOS, Legacy, Linux, VMware, Virtualization, cross-platform","10.1145/1449956.1449975","","","","","","","2008","","Proceedings of the 36th  Annual ACM SIGUCCS Fall Conference: Moving Mountains, Blazing Trails","SIGUCCS '08","","978-1-60558-074-6","Portland, OR, USA","ACM","New York, NY, USA"
"article","1094981","Steve  Berzcuk and Michael  Feathers and Steven  Fraser and Dennis  Mancl and Bill  Opdyke","","","","Living with Legacy: Love It or Leave It?","387--388","","2","ROI, off-shore development, software legacy","10.1145/1094855.1094981","","","","","","","2005","","Companion to the 20th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications","OOPSLA '05","","1-59593-193-7","San Diego, CA, USA","ACM","New York, NY, USA"
"article","2620738","Ryan  Hand and Eric  Keller","","","","ClosedFlow: Openflow-like Control over Proprietary Devices","7--12","","6","legacy devices, openflow, software-defined networking","10.1145/2620728.2620738","","","","","","","2014","","Proceedings of the Third Workshop on Hot Topics in Software Defined Networking","HotSDN '14","","978-1-4503-2989-7","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","354928","Jay  Graham","","","","O&Mdash;IMAP in 90 Days or How to Migrate 25,000 Users to IMAP in Three Months","82--85","","4","IMAP, POP, client-server, e-mail, legacy","10.1145/354908.354928","","","","","","","2000","","Proceedings of the 28th Annual ACM SIGUCCS Conference on User Services: Building the Future","SIGUCCS '00","","1-58113-229-8","Richmond, Virginia, USA","ACM","New York, NY, USA"
"article","2664422","Kentaro  Yoshimura and Ryota  Mibe","","","","Visualizing Code Clone Outbreak: An Industrial Case Study","96--96","","1","code clone, legacy system, software visualization","","","","","","","","2012","","Proceedings of the 6th International Workshop on Software Clones","IWSC '12","","978-1-4673-1795-5","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1099430","Stefan  G&#246;tz and Klaus  Wehrle","","","","Transparent End-host-based Service Composition Through Network Virtualization","31--36","","6","legacy support, mobility, multimedia, service composition","10.1145/1099423.1099430","","","","","","","2005","","Proceedings of the First ACM International Workshop on Multimedia Service Composition","MSC '05","","1-59593-245-3","Hilton, Singapore","ACM","New York, NY, USA"
"article","773136","Rakesh  Agarwal and Ajit  Sarangi and Swati  Das","","","","Reengineering of Database Intensive Application","1--1","","1","application development, database, legacy system, reengineering","10.1145/773126.773136","SIGSOFT Softw. Eng. Notes","May 2003","28","3","","May","2003","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1030439","Boris  Chidlovskii and J&#233;r&#244;me  Fuselier","","","","Supervised Learning for the Legacy Document Conversion","220--228","","9","XML markup, legacy document conversion, machine learning","10.1145/1030397.1030439","","","","","","","2004","","Proceedings of the 2004 ACM Symposium on Document Engineering","DocEng '04","","1-58113-938-1","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","337107","Jay  Graham","","","","Enterprise Wide Electronic Mail Using IMAP","83--85","","3","IMAP, POP, client-server, e-mail, legacy","10.1145/337043.337107","","","","","","","1999","","Proceedings of the 27th Annual ACM SIGUCCS Conference on User Services: Mile High Expectations","SIGUCCS '99","","1-58113-144-5","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","1189361","Morteza  Haddadzadeh","","","","Preparing the Legacy Networks for Broadband Services","","6","","DSL, broadband services, legacy networks, loop qualification","10.1145/1189355.1189361","","","","","","","2006","","Proceedings of the 1st International Conference on Access Networks","AcessNets '06","","1-59593-513-4","Athens, Greece","ACM","New York, NY, USA"
"article","1806461","Ernst  Juhnke and Dominik  Seiler and Thilo  Stadelmann and Tim  D&#246;rnemann and Bernd  Freisleben","","","","LCDL: An Extensible Framework for Wrapping Legacy Code","648--652","","5","interface definition languages, legacy code wrapping","10.1145/1806338.1806461","","","","","","","2009","","Proceedings of the 11th International Conference on Information Integration and Web-based Applications &Amp; Services","iiWAS '09","","978-1-60558-660-1","Kuala Lumpur, Malaysia","ACM","New York, NY, USA"
"article","999418","Wilhelm  Hasselbring and Ralf  Reussner and Holger  Jaekel and Jurgen  Schlegelmilch and Thorsten  Teschke and Stefan  Krieghoff","","","","The Dublo Architecture Pattern for Smooth Migration of Business Information Systems: An Experience Report","117--126","","10","Architecture Pattern, Software Architecture, Legacy Systems, Migration","","","","","","","","2004","","Proceedings of the 26th International Conference on Software Engineering","ICSE '04","","0-7695-2163-0","","IEEE Computer Society","Washington, DC, USA"
"article","1402988","Maxim  Podlesny and Sergey  Gorinsky","","","","Rd Network Services: Differentiation Through Performance Incentives","255--266","","12","incremental deployment, legacy infrastructure, legacy traffic, performance incentive, queuing delay, service differentiation, transmission rate","10.1145/1402946.1402988","SIGCOMM Comput. Commun. Rev.","October 2008","38","4","","August","2008","0146-4833","","","","","","ACM","New York, NY, USA"
"article","1402988","Maxim  Podlesny and Sergey  Gorinsky","","","","Rd Network Services: Differentiation Through Performance Incentives","255--266","","12","incremental deployment, legacy infrastructure, legacy traffic, performance incentive, queuing delay, service differentiation, transmission rate","10.1145/1402958.1402988","","","","","","","2008","","Proceedings of the ACM SIGCOMM 2008 Conference on Data Communication","SIGCOMM '08","","978-1-60558-175-0","Seattle, WA, USA","ACM","New York, NY, USA"
"article","271796","Mark  Molloy and Kristy  Andrews and James  Herren and David  Cutler and Paul  Del Vigna","","","","Automatic Interoperability Test Generation for Source-to-source Translators","93--101","","9","automated testing, language conversion, legacy data, legacy software, source-to-source translation, test generation","10.1145/271775.271796","SIGSOFT Softw. Eng. Notes","March 1998","23","2","","March","1998","0163-5948","","","","","","ACM","New York, NY, USA"
"article","271796","Mark  Molloy and Kristy  Andrews and James  Herren and David  Cutler and Paul  Del Vigna","","","","Automatic Interoperability Test Generation for Source-to-source Translators","93--101","","9","automated testing, language conversion, legacy data, legacy software, source-to-source translation, test generation","10.1145/271771.271796","","","","","","","1998","","Proceedings of the 1998 ACM SIGSOFT International Symposium on Software Testing and Analysis","ISSTA '98","","0-89791-971-8","Clearwater Beach, Florida, USA","ACM","New York, NY, USA"
"article","1166360","Makoto  Ohigashi and Zhen-Sheng  Guo and Yuzuru  Tanaka","","","","Integration of a 2D Legacy GIS, Legacy Simulations, and Legacy Databases into a 3D Geographic Simulation","149--156","","8","3D geographic simulation, legacy system integration, meme media","10.1145/1166324.1166360","","","","","","","2006","","Proceedings of the 24th Annual ACM International Conference on Design of Communication","SIGDOC '06","","1-59593-523-1","Myrtle Beach, SC, USA","ACM","New York, NY, USA"
"article","962309","Hausi A. M&#252;ller and Scott R. Tilley and Kenny  Wong","","","","Understanding Software Systems Using Reverse Engineering Technology Perspectives from the Rigi Project","217--226","","10","legacy software, program understanding, reverse engineering, software evolution","","","","","","","","1993","","Proceedings of the 1993 Conference of the Centre for Advanced Studies on Collaborative Research: Software Engineering - Volume 1","CASCON '93","","","Toronto, Ontario, Canada","IBM Press",""
"article","253799","Hausi A. M&#252;ller","","","","Reverse Engineering Strategies for Software Migration (Tutorial)","659--660","","2","legacy systems, reverse engineering, software evolution, software migration, software reengineering","10.1145/253228.253799","","","","","","","1997","","Proceedings of the 19th International Conference on Software Engineering","ICSE '97","","0-89791-914-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","2645796","Kostantinos  Stroggylos and Dimitris  Mitropoulos and Zacharias  Tzermias and Panagiotis  Papadopoulos and Fotios  Rafailidis and Diomidis  Spinellis and Sotiris  Ioannidis and Panagiotis  Katsaros","","","","Securing Legacy Code with the TRACER Platform","26:1--26:6","26","6","Legacy software, Software Security, Static Analysis, Trusted Applications","10.1145/2645791.2645796","","","","","","","2014","","Proceedings of the 18th Panhellenic Conference on Informatics","PCI '14","","978-1-4503-2897-5","Athens, Greece","ACM","New York, NY, USA"
"article","2688449","Peter  Krall","","","","Generating Code Using Reflection in the Context of Computer-Assisted Legacy System Analyses and Reengineering","7--12","","6","code generation, domain specific modeling, legacy system analysis, reflection","10.1145/2688447.2688449","","","","","","","2014","","Proceedings of the 14th Workshop on Domain-Specific Modeling","DSM '14","","978-1-4503-2156-3","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2346623","Chethan  Kotekar","","","","An Approach to Translate Legacy 'C' Code to Simulink&Reg; Model Using XML","7:1--7:5","7","5","MBD, XML, automatic translation, grammar, legacy code, reverse engineering","","","","","","","","2012","","Proceedings of the 2012 Symposium on Theory of Modeling and Simulation - DEVS Integrative M&S Symposium","TMS/DEVS '12","","978-1-61839-786-7","Orlando, Florida","Society for Computer Simulation International","San Diego, CA, USA"
"article","1391223","","","","","Instant Legacy","","1","","","10.1145/1317394.1391223","Queue","September/October 2007","5","6","","September","2007","1542-7730","","","","","","ACM","New York, NY, USA"
"book","2809523","","Robin  Hammerman and Andrew L. Russell","","","","","","","","","","","","","","","2015","","Ada's Legacy: Cultures of Computing from the Victorian to the Digital Age","","","978-1-97000-149-5","","Association for Computing Machinery and Morgan &#38; Claypool","New York, NY, USA"
"article","1274246","Derek  Reinhardt","","","","Certification Criteria for Emulation Technology in the Australian Defence Force Military Avionics Context","79--92","","14","certification, emulation, legacy systems, safety critical, software architecture, software safety","","","","","","","","2006","","Proceedings of the Eleventh Australian Workshop on Safety Critical Systems and Software - Volume 69","SCS '06","","1-920-68250-3","Melbourne, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1138950","Joseph C. Okika and Anders P. Ravn and Zhiming  Liu and Lokesh  Siddalingaiah","","","","Developing a TTCN-3 Test Harness for Legacy Software","104--110","","7","TTCN-3, embedded system, legacy software, test harness","10.1145/1138929.1138950","","","","","","","2006","","Proceedings of the 2006 International Workshop on Automation of Software Test","AST '06","","1-59593-408-1","Shanghai, China","ACM","New York, NY, USA"
"article","2538030","Daniel  Isemann and Khurshid  Ahmad","","","","Ontological Access to Images of Fine Art","3:1--3:25","3","25","Legacy data conversion, description logic modeling, ontology-based user interface","10.1145/2538030","J. Comput. Cult. Herit.","February 2014","7","1","","April","2014","1556-4673","","","","","","ACM","New York, NY, USA"
"article","971493","John  Harper and Donal  Sweeney","","","","Multimodal Optimizations: Can Legacy Systems Defeat Them?","1--8","","8","legacy systems, mental models, multimodal interfaces, task analysis, user modeling","10.1145/971478.971493","","","","","","","2001","","Proceedings of the 2001 Workshop on Perceptive User Interfaces","PUI '01","","","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","1497318","Kamran  Sartipi and Azin  Dehmoobad","","","","Cross-domain Information and Service Interoperability","25--32","","8","HL7, cross-domain interoperability, healthcare, legacy system, standardization","10.1145/1497308.1497318","","","","","","","2008","","Proceedings of the 10th International Conference on Information Integration and Web-based Applications & Services","iiWAS '08","","978-1-60558-349-5","Linz, Austria","ACM","New York, NY, USA"
"article","279201","Walter  Skok and Rachel  Wardley","","","","A Partnership Approach in Undergraduate Business Education","136--144","","9","action research, groupworking, legacy systems, undergraduate business education","10.1145/279179.279201","","","","","","","1998","","Proceedings of the 1998 ACM SIGCPR Conference on Computer Personnel Research","SIGCPR '98","","0-89791-959-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","1449822","Toshio  Suganuma and Toshiaki  Yasue and Tamiya  Onodera and Toshio  Nakatani","","","","Performance Pitfalls in Large-scale Java Applications Translated from COBOL","685--696","","12","COBOL to java translations, legacy migration, object allocation","10.1145/1449814.1449822","","","","","","","2008","","Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA Companion '08","","978-1-60558-220-7","Nashville, TN, USA","ACM","New York, NY, USA"
"article","2491644","Julia  Rubin and Krzysztof  Czarnecki and Marsha  Chechik","","","","Managing Cloned Variants: A Framework and Experience","101--110","","10","cloned product variants, industrial case studies, legacy software product lines","10.1145/2491627.2491644","","","","","","","2013","","Proceedings of the 17th International Software Product Line Conference","SPLC '13","","978-1-4503-1968-3","Tokyo, Japan","ACM","New York, NY, USA"
"article","767134","Massimo  Mecella and Barbara  Pernici","","","","Designing Wrapper Components for e-Services in Integrating Heterogeneous Systems","2--15","","14","Component, Cooperation, Integration, Legacy system, Wrapper, e-application, e-service","","The VLDB Journal","August 2001","10","1","","August","2001","1066-8888","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","1053491","Richard  Hulse","","","","Legacy Database Replacement with LAMP","1--","","","","","Linux J.","March 2005","2005","131","","March","2005","1075-3583","","","","","","Belltown Media","Houston, TX"
"article","2642928","Dave  Taylor","","","","Work the Shell: Considering Legacy UNIX/Linux Issues","","6","","","","Linux J.","June 2014","2014","242","","June","2014","1075-3583","","","","","","Belltown Media","Houston, TX"
"article","295722","Albert  Alderson and Hanifa  Shah","","","","Technical Opinion: Viewpoints on Legacy Systems","115--116","","2","","10.1145/295685.295722","Commun. ACM","March 1999","42","3","","March","1999","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2542502","Michael A. Cusumano","","","","The Legacy of Steve Ballmer","30--32","","3","","10.1145/2542502","Commun. ACM","January 2014","57","1","","January","2014","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2019345","Esteban  Garc&#237;a and David  Whittinghill","","","","Art and Code: The Aesthetic Legacy of Aldo Giorgini","309--316","","8","","10.1145/2019342.2019345","","","","","","","2011","","ACM SIGGRAPH 2011 Art Gallery","SIGGRAPH '11","","978-1-4503-0964-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","1787261","Kirk L. Kroeker","","","","Celebrating the Legacy of PLATO","19--20","","2","","10.1145/1787234.1787261","Commun. ACM","August 2010","53","8","","August","2010","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1774121","Ricardo  P&#233;rez-Castillo and Ignacio Garc&#237;a Rodr&#237;guez de Guzm&#225;n and Mario  Piattini","","","","On the Use of Patterns to Recover Business Processes","165--166","","2","ADM, business process, legacy systems, modernization, patterns, software archeology","10.1145/1774088.1774121","","","","","","","2010","","Proceedings of the 2010 ACM Symposium on Applied Computing","SAC '10","","978-1-60558-639-7","Sierre, Switzerland","ACM","New York, NY, USA"
"article","2077825","Beevi S. Nadera and D.  Chitraprasad and Vinod S. S. Chandra","","","","The Varying Faces of a Program Transformation Systems","49--55","","7","analysis tools, language transformation, legacy systems, meta-frameworks, migration","10.1145/2077808.2077825","ACM Inroads","March 2012","3","1","","March","2012","2153-2184","","","","","","ACM","New York, NY, USA"
"article","2307825","Christoph  Szymanski and Silvia  Schreier","","","","Case Study: Extracting a Resource Model from an Object-oriented Legacy Application","19--24","","6","REST, case study, legacy software, modeling, object-orientation, resource-orientation","10.1145/2307819.2307825","","","","","","","2012","","Proceedings of the Third International Workshop on RESTful Design","WS-REST '12","","978-1-4503-1190-8","Lyon, France","ACM","New York, NY, USA"
"article","2811698","David  Parsons and Teo  Susnjak and Anuradha  Mathrani","","","","The Software Developer Cycle: Career Demographics and the Market Clock: Or, is SQL the New COBOL?","86--90","","5","IT market clock, demographics, legacy systems, software development skills, survey","10.1145/2811681.2811698","","","","","","","2015","","Proceedings of the ASWEC 2015 24th Australasian Software Engineering Conference","ASWEC ' 15 Vol. II","","978-1-4503-3796-0","Adelaide, SA, Australia","ACM","New York, NY, USA"
"article","2839472","Lynn  Hoff and Eva  Hornecker and Sven  Bertel","","","","Modifying Gesture Elicitation: Do Kinaesthetic Priming and Increased Production Reduce Legacy Bias?","86--91","","6","Embodiment, gesture elicitation, legacy bias, movement, priming, study design","10.1145/2839462.2839472","","","","","","","2016","","Proceedings of the TEI '16: Tenth International Conference on Tangible, Embedded, and Embodied Interaction","TEI '16","","978-1-4503-3582-9","Eindhoven, Netherlands","ACM","New York, NY, USA"
"article","276410","J. K. Joiner and W. T. Tsai","","","","Re-engineering Legacy Cobol Programs","185--197","","13","","10.1145/276404.276410","Commun. ACM","May 1998","41","5es","","May","1998","0001-0782","","","","","","ACM","New York, NY, USA"
"article","290153","W. B. Noffsinger and Robert  Niedbalski and Michael  Blanks and Niall  Emmart","","","","Legacy Object Modeling Speeds Software Integration","80--89","","10","","10.1145/290133.290153","Commun. ACM","Dec. 1998","41","12","","December","1998","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1401826","Leah  Hoffmann","","","","An Inspiring Legacy","19--19","","1","","10.1145/1400181.1401826","Commun. ACM","October 2008","51","10","","October","2008","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2591689","Meredith Ringel Morris and Andreea  Danielescu and Steven  Drucker and Danyel  Fisher and Bongshin  Lee and m. c. schraefel and Jacob O. Wobbrock","","","","Reducing Legacy Bias in Gesture Elicitation Studies","40--45","","6","","10.1145/2591689","interactions","May-June 2014","21","3","","May","2014","1072-5520","","","","","","ACM","New York, NY, USA"
"article","2393548","Cristiano  Maciel and Vinicius Carvalho Pereira","","","","The Internet Generation and Its Representations of Death: Considerations for Posthumous Interaction Projects","85--94","","10","death representations, digital legacy, internet generation, posthumous interaction","","","","","","","","2012","","Proceedings of the 11th Brazilian Symposium on Human Factors in Computing Systems","IHC '12","","978-85-7669-262-1","Cuiaba, Brazil","Brazilian Computer Society","Porto Alegre, Brazil, Brazil"
"article","1159754","Bente  Anda and Kai  Hansen","","","","A Case Study on the Application of UML in Legacy Development","124--133","","10","UML, embedded software, legacy software, model-driven development","10.1145/1159733.1159754","","","","","","","2006","","Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering","ISESE '06","","1-59593-218-6","Rio de Janeiro, Brazil","ACM","New York, NY, USA"
"article","319308","Gerhard  B&#252;hler and Heinz  Fa&#223;bender","","","","Applying Ada, Java and CORBA for Making a Command and Control Information System Platform Independent","83--88","","6","CORBA, Java, distributed system, legacy system, use of several languages","10.1145/319295.319308","Ada Lett.","Sept. 1999","XIX","3","","September","1999","1094-3641","","","","","","ACM","New York, NY, USA"
"article","319308","Gerhard  B&#252;hler and Heinz  Fa&#223;bender","","","","Applying Ada, Java and CORBA for Making a Command and Control Information System Platform Independent","83--88","","6","CORBA, Java, distributed system, legacy system, use of several languages","10.1145/319294.319308","","","","","","","1999","","Proceedings of the 1999 Annual ACM SIGAda International Conference on Ada","SIGAda '99","","1-58113-127-5","Redondo Beach, California, USA","ACM","New York, NY, USA"
"article","512040","Tomoko  Matsumura and Akito  Monden and Ken-ichi  Matsumoto","","","","A Method for Detecting Faulty Code Violating Implicit Coding Rules","15--21","","7","code inspection, fault report, legacy software, pattern matching, software maintenance","10.1145/512035.512040","","","","","","","2002","","Proceedings of the International Workshop on Principles of Software Evolution","IWPSE '02","","1-58113-545-9","Orlando, Florida","ACM","New York, NY, USA"
"article","2803169","Anne  K&#246;psel and Nikola  Bubalo","","","","Benefiting from Legacy Bias","44--47","","4","","10.1145/2803169","interactions","September-October 2015","22","5","","August","2015","1072-5520","","","","","","ACM","New York, NY, USA"
